team,scope,status,attack_factor,defense_risk,note
Mexico,group,qualified,0.94,1.04,Winner Group A - advanced to R32
South Africa,group,qualified,0.94,1.04,Runner-up Group A - advanced to R32
South Korea,group,eliminated,0.98,1.0,Third place Group A - did not advance
Czechia,group,eliminated,0.98,1.0,Fourth place Group A
Canada,group,qualified,0.94,1.04,Runner-up Group B - advanced to R32
Bosnia and Herzegovina,group,qualified,0.94,1.04,Best third-place (Group B) - advanced to R32
Qatar,group,eliminated,0.98,1.0,Fourth place Group B
Switzerland,group,qualified,0.94,1.04,Winner Group B - advanced to R32
Brazil,group,qualified,0.94,1.04,Winner Group C - advanced to R32
Morocco,group,qualified,0.94,1.04,Runner-up Group C - advanced to R32
Haiti,group,eliminated,0.98,1.0,Fourth place Group C
Scotland,group,eliminated,0.98,1.0,Third place Group C - did not advance
United States,group,qualified,0.94,1.04,Winner Group D - advanced to R32
Paraguay,group,qualified,0.94,1.04,Best third-place (Group D) - advanced to R32
Australia,group,qualified,0.94,1.04,Runner-up Group D - advanced to R32
Turkiye,group,eliminated,0.98,1.0,Fourth place Group D
Germany,group,qualified,0.94,1.04,Winner Group E - advanced to R32
Curacao,group,eliminated,0.98,1.0,Fourth place Group E
Ivory Coast,group,qualified,0.94,1.04,Runner-up Group E - advanced to R32
Ecuador,group,qualified,0.94,1.04,Best third-place (Group E) - advanced to R32
Netherlands,group,qualified,0.94,1.04,Winner Group F - advanced to R32
Japan,group,qualified,0.94,1.04,Runner-up Group F - advanced to R32
Sweden,group,qualified,0.94,1.04,Best third-place (Group F) - advanced to R32
Tunisia,group,eliminated,0.98,1.0,Fourth place Group F
Belgium,group,qualified,0.94,1.04,Winner Group G - advanced to R32
Egypt,group,qualified,0.94,1.04,Runner-up Group G - advanced to R32
Iran,group,eliminated,0.98,1.0,Third place Group G - did not advance
New Zealand,group,eliminated,0.98,1.0,Fourth place Group G
Spain,group,qualified,0.94,1.04,Winner Group H - advanced to R32
Cape Verde,group,qualified,0.94,1.04,Runner-up Group H - advanced to R32
Saudi Arabia,group,eliminated,0.98,1.0,Fourth place Group H
Uruguay,group,eliminated,0.98,1.0,Third place Group H - did not advance
France,group,qualified,0.94,1.04,Winner Group I - advanced to R32
Senegal,group,qualified,0.94,1.04,Best third-place (Group I) - advanced to R32
Iraq,group,eliminated,0.98,1.0,Fourth place Group I
Norway,group,qualified,0.94,1.04,Runner-up Group I - advanced to R32
Argentina,group,qualified,0.94,1.04,Winner Group J - advanced to R32
Algeria,group,qualified,0.94,1.04,Best third-place (Group J) - advanced to R32
Austria,group,qualified,0.94,1.04,Runner-up Group J - advanced to R32
Jordan,group,eliminated,0.98,1.0,Fourth place Group J
Portugal,group,qualified,0.94,1.04,Runner-up Group K - advanced to R32
DR Congo,group,qualified,0.94,1.04,Best third-place (Group K) - advanced to R32
Uzbekistan,group,eliminated,0.98,1.0,Fourth place Group K
Colombia,group,qualified,0.94,1.04,Winner Group K - advanced to R32
England,group,qualified,0.94,1.04,Winner Group L - advanced to R32
Croatia,group,qualified,0.94,1.04,Runner-up Group L - advanced to R32
Ghana,group,qualified,0.94,1.04,Best third-place (Group L) - advanced to R32
Panama,group,eliminated,0.98,1.0,Fourth place Group L
